Date,C,Confirmed,D,Death
5/27/2022,43150215,2685,524572,33
5/28/2022,43153043,2828,524586,14
5/29/2022,43155749,2706,524611,25
5/30/2022,43158087,2338,524630,19
5/31/2022,43160832,2745,524636,6
6/1/2022,43164544,3712,524641,5
6/2/2022,43168585,4041,524651,10
6/3/2022,43172547,3962,524677,26
6/4/2022,43176817,4270,524692,15
6/5/2022,43181335,4518,524701,9
6/6/2022,43185049,3714,524708,7
6/7/2022,43190282,5233,524715,7
6/8/2022,43197522,7240,524723,8
6/9/2022,43205106,7584,524747,24
6/10/2022,43213435,8329,524757,10
6/11/2022,43222017,8582,524761,4
6/12/2022,43230101,8084,524771,10
6/13/2022,43236695,6594,524777,6
6/14/2022,43245517,8822,524792,15
6/15/2022,43257730,12213,524803,11
6/16/2022,43270577,12847,524817,14
6/17/2022,43283793,13216,524840,23
6/18/2022,43296692,12899,524855,15
6/19/2022,43309473,12781,524873,18
6/20/2022,43319396,9923,524890,17
6/21/2022,43331645,12249,524903,13
6/22/2022,43344958,13313,524941,38
6/23/2022,43362294,17336,524954,13
6/24/2022,43378234,15940,524974,20
6/25/2022,43389973,11739,524999,25
6/26/2022,43407046,17073,525020,21
6/27/2022,43418839,11793,525047,27
6/28/2022,43433345,14506,525077,30
6/29/2022,43452164,18819,525116,39
6/30/2022,43469234,17070,525139,23
7/1/2022,43486326,17092,525168,29
7/2/2022,43502429,16103,525199,31
7/3/2022,43518564,16135,525223,24
7/4/2022,43531650,13086,525242,19
7/5/2022,43547809,16159,525270,28
7/6/2022,43566739,18930,525305,35
7/7/2022,43585554,18815,525343,38
7/8/2022,43604394,18840,525386,43
7/9/2022,43622651,18257,525428,42
7/10/2022,43639329,16678,525454,26
7/11/2022,43652944,13615,525474,20
7/12/2022,43669850,16906,525519,45
7/13/2022,43689989,20139,525557,38
7/14/2022,43710027,20038,525604,47
7/15/2022,43730071,20044,525660,56
7/16/2022,43750599,20528,525709,49
7/17/2022,43767534,16935,525760,51
7/18/2022,43783062,15528,525785,25
7/19/2022,43801678,18616,525821,36
7/20/2022,43824728,23050,525866,45
7/21/2022,43847065,22337,525930,64
7/22/2022,43868476,21411,525997,67
7/23/2022,43888755,20279,526033,36
7/24/2022,43905621,16866,526074,41
7/25/2022,43920451,14830,526110,36
7/26/2022,43938764,18313,526167,57
7/27/2022,43959321,20557,526212,45
7/28/2022,43979730,20409,526258,46
7/29/2022,44000138,20408,526312,54
7/30/2022,44019811,19673,526357,45
7/31/2022,44036275,16464,526396,39
8/1/2022,44050009,13734,526430,34
8/2/2022,44067144,17135,526477,47
8/3/2022,44087037,19893,526530,53
8/4/2022,44107588,20551,526600,70
8/5/2022,44126994,19406,526649,49
8/6/2022,44145709,18715,526689,40
8/7/2022,44145709,0,526689,0
8/8/2022,44174650,28941,526772,83
8/9/2022,44190697,16047,526826,54
8/10/2022,44206996,16299,526879,53
8/11/2022,44223557,16561,526928,49
8/12/2022,44239372,15815,526996,68
8/13/2022,44253464,14092,527037,41
8/14/2022,44268381,14917,527069,32
8/15/2022,44277711,9330,527098,29
8/16/2022,44286256,8545,527134,36
8/17/2022,44298864,12608,527206,72
8/18/2022,44314618,15754,527253,47
8/19/2022,44327890,13272,527289,36
8/20/2022,44339429,11539,527332,43
8/21/2022,44348960,9531,527368,36
8/22/2022,44357546,8586,527416,48
8/23/2022,44368195,10649,527452,36
8/24/2022,44378920,10725,527488,36
8/25/2022,44389176,10256,527556,68
8/26/2022,44398696,9520,527597,41
8/27/2022,44408132,9436,527754,157
8/28/2022,44415723,7591,527799,45
8/29/2022,44415723,0,527799,0
8/30/2022,44415723,0,527799,0
8/31/2022,44436339,20616,527911,112
9/1/2022,44442507,6168,527932,21
9/2/2022,44449726,7219,527965,33
9/3/2022,44456535,6809,527991,26
9/4/2022,44462445,5910,528007,16
9/5/2022,44466862,4417,528030,23
9/6/2022,44469661,2799,528057,27
9/7/2022,44478636,8975,528090,33
9/8/2022,44484729,6093,528121,31
9/9/2022,44490283,5554,528139,18
9/10/2022,44495359,5076,528150,11
9/11/2022,44500580,5221,528165,15
9/12/2022,44502363,1783,528185,20
9/13/2022,44510057,7694,528216,31
9/14/2022,44516479,6422,528250,34
9/15/2022,44522777,6298,528273,23
9/16/2022,44528524,5747,528302,29
9/17/2022,44534188,5664,528337,35
9/18/2022,44539046,4858,528355,18
9/19/2022,44543089,4043,528370,15
9/20/2022,44545011,1922,528403,33
