Date,C,Confirmed,D,Death
6/17/2022,29236926,50536,145754,43
6/18/2022,29236926,0,145754,0
6/19/2022,29236926,0,145754,0
6/20/2022,29338883,101957,145821,67
6/21/2022,29422836,83953,145869,48
6/22/2022,29499502,76666,145927,58
6/23/2022,29579354,79852,145967,40
6/24/2022,29658559,79205,146016,49
6/25/2022,29658559,0,146016,0
6/26/2022,29658559,0,146016,0
6/27/2022,29823387,164828,146105,89
6/28/2022,29958577,135190,146123,18
6/29/2022,30083301,124724,146171,48
6/30/2022,30216647,133346,146213,42
7/1/2022,30341632,124985,146265,52
7/2/2022,30341632,0,146265,0
7/3/2022,30341632,0,146265,0
7/4/2022,30584880,243248,146406,141
7/5/2022,30781967,197087,146473,67
7/6/2022,30936582,154615,146526,53
7/7/2022,31097847,161265,146615,89
7/8/2022,31235794,137947,146682,67
7/9/2022,31235794,0,146682,0
7/10/2022,31235794,0,146682,0
7/11/2022,31487131,251337,146844,162
7/12/2022,31659753,172622,146958,114
7/13/2022,31787395,127642,147067,109
7/14/2022,31787395,0,147067,0
7/15/2022,31787395,0,147067,0
7/16/2022,31787395,0,147067,0
7/17/2022,31787395,0,147067,0
7/18/2022,32141518,354123,147482,415
7/19/2022,32269027,127509,147619,137
7/20/2022,32358740,89713,147744,125
7/21/2022,32439609,80869,147877,133
7/22/2022,32513712,74103,147990,113
7/23/2022,32513712,0,147990,0
7/24/2022,32513712,0,147990,0
7/25/2022,32643471,129759,148200,210
7/26/2022,32723412,79941,148306,106
7/27/2022,32782050,58638,148409,103
7/28/2022,32827964,45914,148514,105
7/29/2022,32872716,44752,148603,89
7/30/2022,32872716,0,148603,0
7/31/2022,32872716,0,148603,0
8/1/2022,32952778,80062,148799,196
8/2/2022,33001908,49130,148885,86
8/3/2022,33040311,38403,148975,90
8/4/2022,33068287,27976,149055,80
8/5/2022,33098879,30592,149135,80
8/6/2022,33098879,0,149135,0
8/7/2022,33098879,0,149135,0
8/8/2022,33153696,54817,149309,174
8/9/2022,33191512,37816,149420,111
8/10/2022,33218593,27081,149508,88
8/11/2022,33242582,23989,149588,80
8/12/2022,33256395,13813,149648,60
8/13/2022,33256395,0,149648,0
8/14/2022,33256395,0,149648,0
8/15/2022,33256395,0,149648,0
8/16/2022,33298533,42138,149807,159
8/17/2022,33334278,35745,149900,93
8/18/2022,33357883,23605,149992,92
8/19/2022,33372974,15091,150064,72
8/20/2022,33372974,0,150064,0
8/21/2022,33372974,0,150064,0
8/22/2022,33411676,38702,150180,116
8/23/2022,33440664,28988,150268,88
8/24/2022,33461953,21289,150325,57
8/25/2022,33481790,19837,150369,44
8/26/2022,33493920,12130,150414,45
8/27/2022,33493920,0,150414,0
8/28/2022,33493920,0,150414,0
8/29/2022,33529669,35749,150524,110
8/30/2022,33553391,23722,150575,51
8/31/2022,33572631,19240,150629,54
9/1/2022,33591277,18646,150670,41
9/2/2022,33600422,9145,150712,42
9/3/2022,33600422,0,150712,0
9/4/2022,33600422,0,150712,0
9/5/2022,33632356,31934,150796,84
9/6/2022,33659274,26918,150856,60
9/7/2022,33679416,20142,150902,46
9/8/2022,33699282,19866,150960,58
9/9/2022,33718369,19087,150991,31
9/10/2022,33718369,0,150991,0
9/11/2022,33718369,0,150991,0
9/12/2022,33754160,35791,151047,56
9/13/2022,33796010,41850,151096,49
9/14/2022,33825536,29526,151114,18
9/15/2022,33856227,30691,151142,28
9/16/2022,33884825,28598,151169,27
9/17/2022,33884825,0,151169,0
9/18/2022,33884825,0,151169,0
9/19/2022,33946300,61475,151240,71
9/20/2022,33998116,51816,151288,48
9/21/2022,34036366,38250,151321,33
9/22/2022,34074830,38464,151351,30
9/23/2022,34110990,36160,151376,25
9/24/2022,34110990,0,151376,0
9/25/2022,34110990,0,151376,0
9/26/2022,34187868,76878,151449,73
9/27/2022,34261507,73639,151489,40
9/28/2022,34313401,51894,151525,36
9/29/2022,34364144,50743,151555,30
9/30/2022,34412387,48243,151589,34
10/1/2022,34412387,0,151589,0
10/2/2022,34412387,0,151589,0
10/3/2022,34505126,92739,151675,86
10/4/2022,34592885,87759,151747,72
10/5/2022,34659449,66564,151794,47
10/6/2022,34724986,65537,151844,50
10/7/2022,34785735,60749,151898,54
10/8/2022,34785735,0,151898,0
10/9/2022,34785735,0,151898,0
10/10/2022,34895004,109269,152011,113
10/11/2022,34986866,91862,152094,83
10/12/2022,35055510,68644,152146,52
10/13/2022,35119728,64218,152208,62
10/14/2022,35178403,58675,152288,80
10/15/2022,35178403,0,152288,0
10/16/2022,35178403,0,152288,0
10/17/2022,35284855,106452,152450,162
10/18/2022,35372521,87666,152551,101
10/19/2022,35435552,63031,152657,106
10/20/2022,35492345,56793,152726,69
10/21/2022,35541081,48736,152805,79
10/22/2022,35541081,0,152805,0
10/23/2022,35541081,0,152805,0
10/24/2022,35623204,82123,152977,172
10/25/2022,35679251,56047,153104,127
10/26/2022,35720436,41185,153164,60
10/27/2022,35757525,37089,153235,71
10/28/2022,35782940,25415,153295,60
10/29/2022,35782940,0,153295,0
10/30/2022,35782940,0,153295,0
10/31/2022,35825887,42947,153457,162
11/1/2022,35825887,0,153457,0
11/2/2022,35861040,35153,153607,150
11/3/2022,35902678,41638,153662,55
11/4/2022,35932097,29419,153740,78
11/5/2022,35932097,0,153740,0
11/6/2022,35932097,0,153740,0
11/7/2022,35983760,51663,153892,152
11/8/2022,36024351,40591,154009,117
11/9/2022,36053053,28702,154081,72
11/10/2022,36080121,27068,154134,53
11/11/2022,36080121,0,154134,0
11/12/2022,36080121,0,154134,0
11/13/2022,36080121,0,154134,0
11/14/2022,36145223,65102,154284,150
11/15/2022,36193559,48336,154394,110
11/16/2022,36227341,33782,154455,61
